============================================================
Horizon training — 72h target (fwdMaxFavR72H)
  CSV source: /Volumes/External/CryptoLens/ml-training/csv_exports_v14_stocks
  Output suffix: h72t25
============================================================

--- Loading Stocks ---
  AAPL: 1629 bars, goodR=64.0%
  ABBV: 1629 bars, goodR=57.6%
  ABNB: 1141 bars, goodR=60.6%
  ABT: 1629 bars, goodR=57.6%
  ADBE: 1629 bars, goodR=59.9%
  AIG: 1626 bars, goodR=62.7%
  AMAT: 1629 bars, goodR=66.1%
  AMD: 1629 bars, goodR=65.8%
  AMGN: 1629 bars, goodR=57.6%
  AMT: 1629 bars, goodR=59.6%
  AMZN: 1629 bars, goodR=62.9%
  AVGO: 1629 bars, goodR=64.5%
  AXP: 1629 bars, goodR=64.4%
  BA: 1629 bars, goodR=62.7%
  BAC: 1629 bars, goodR=65.8%
  BIIB: 1627 bars, goodR=56.1%
  BKNG: 1629 bars, goodR=62.2%
  BLK: 1629 bars, goodR=64.3%
  BMY: 1628 bars, goodR=58.8%
  BSX: 1629 bars, goodR=62.4%
  BYND: 1549 bars, goodR=51.3%
  C: 1629 bars, goodR=62.7%
  CAT: 1629 bars, goodR=64.3%
  CCI: 1629 bars, goodR=59.9%
  CHTR: 1629 bars, goodR=59.7%
  CMCSA: 1629 bars, goodR=60.5%
  CME: 1628 bars, goodR=59.3%
  CMG: 1629 bars, goodR=63.5%
  COF: 1629 bars, goodR=62.9%
  COIN: 1058 bars, goodR=60.8%
  COP: 1629 bars, goodR=64.8%
  COST: 1629 bars, goodR=63.0%
  CRM: 1629 bars, goodR=62.0%
  CRWD: 1521 bars, goodR=65.9%
  CSCO: 1629 bars, goodR=58.7%
  CVS: 1629 bars, goodR=63.7%
  CVX: 1629 bars, goodR=59.8%
  DAL: 1629 bars, goodR=64.5%
  DASH: 1142 bars, goodR=62.5%
  DDOG: 1441 bars, goodR=63.2%
  DE: 1629 bars, goodR=63.2%
  DHR: 1629 bars, goodR=62.4%
  DIA: 1504 bars, goodR=62.4%
  DIS: 1629 bars, goodR=60.3%
  ELV: 867 bars, goodR=56.1%
