symbol,timestamp,price,rawMlPct,mlPct,maxAllowed,autoFlat,highBlocks,moderateBlocks,downgrade,staleCount,anyKilled,macroRisk,newsConflicts,alignment,alignedDirection,continuationCount,isCrypto,isStock,regime,longConfirmStatus,oneHOpposes,cryptoBearRegime,daysToEarnings,dRsi,hRsi,atrPct,killFunding,killVolume,killMacro,killDivergence
LINKUSDT,1614643200,29.1191,,,MODERATE,,alignment_MIXED_not_full,,,0,0,NONE,0,MIXED,FLAT,0,1,0,TRENDING,n/a,0,0,,50.2400,62.9300,98.0000,,,,
LINKUSDT,1614657600,28.7014,,,MODERATE,,alignment_MIXED_not_full,,,0,0,NONE,0,MIXED,FLAT,0,1,0,TRENDING,n/a,0,0,,50.2400,60.5800,98.0000,,,,
LINKUSDT,1614672000,29.5883,,,MODERATE,,alignment_MIXED_not_full,,,0,0,NONE,0,MIXED,FLAT,0,1,0,TRENDING,n/a,0,0,,50.2400,63.6800,98.0000,,,,
LINKUSDT,1614686400,29.2839,,,MODERATE,,alignment_MIXED_not_full,,,0,0,NONE,0,MIXED,FLAT,0,1,0,TRENDING,n/a,0,0,,50.2400,61.8800,98.0000,,,,
LINKUSDT,1614700800,27.8639,,,MODERATE,,alignment_MIXED_not_full,,,0,0,NONE,0,MIXED,FLAT,0,1,0,TRENDING,n/a,0,0,,50.2400,54.2000,98.0000,,,,
LINKUSDT,1614715200,28.4769,,,MODERATE,,alignment_MIXED_not_full,,,0,0,NONE,0,MIXED,FLAT,0,1,0,TRENDING,n/a,0,0,,50.2400,56.7000,98.0000,,,,
LINKUSDT,1614729600,28.9425,,,MODERATE,,alignment_ALIGNED_BULLISH_HIGHER_TF_ONLY_not_full,,,0,0,NONE,0,ALIGNED_BULLISH_HIGHER_TF_ONLY,LONG,0,1,0,TRENDING,n/a,0,0,,51.9200,58.5500,98.0000,,,,
LINKUSDT,1614744000,30.4374,,,HIGH,,,,,0,0,NONE,0,ALIGNED_BULLISH,LONG,1,1,0,TRENDING,n/a,0,0,,51.9200,63.8800,98.0000,,,,
LINKUSDT,1614758400,30.7328,,,HIGH,,,,,0,0,NONE,0,ALIGNED_BULLISH,LONG,1,1,0,TRENDING,n/a,0,0,,51.9200,64.8500,98.0000,,,,
LINKUSDT,1614772800,30.6232,,,HIGH,,,,,0,0,NONE,0,ALIGNED_BULLISH,LONG,1,1,0,TRENDING,n/a,0,0,,51.9200,64.1600,98.0000,,,,
LINKUSDT,1614787200,30.6470,,,HIGH,,,,,0,0,NONE,0,ALIGNED_BULLISH,LONG,1,1,0,TRENDING,n/a,0,0,,51.9200,64.2500,98.0000,,,,
LINKUSDT,1614801600,29.8500,,,HIGH,,,,,0,0,NONE,0,ALIGNED_BULLISH,LONG,1,1,0,TRENDING,n/a,0,0,,51.9200,59.0200,98.0000,,,,
LINKUSDT,1614816000,29.2188,,,MODERATE,,alignment_ALIGNED_BULLISH_HIGHER_TF_ONLY_not_full,,,0,0,NONE,0,ALIGNED_BULLISH_HIGHER_TF_ONLY,LONG,1,1,0,TRENDING,n/a,0,0,,54.8600,55.1800,98.0000,,,,
LINKUSDT,1614830400,29.6000,,,MODERATE,,alignment_ALIGNED_BULLISH_HIGHER_TF_ONLY_not_full,,,0,0,NONE,0,ALIGNED_BULLISH_HIGHER_TF_ONLY,LONG,1,1,0,TRENDING,n/a,0,0,,54.8600,57.0000,98.0000,,,,
LINKUSDT,1614844800,29.0915,,,MODERATE,,alignment_ALIGNED_BULLISH_HIGHER_TF_ONLY_not_full,,,0,0,NONE,0,ALIGNED_BULLISH_HIGHER_TF_ONLY,LONG,1,1,0,TRENDING,n/a,0,0,,54.8600,53.8600,98.0000,,,,
LINKUSDT,1614859200,29.0616,,,MODERATE,,alignment_ALIGNED_BULLISH_HIGHER_TF_ONLY_not_full,,,0,0,NONE,0,ALIGNED_BULLISH_HIGHER_TF_ONLY,LONG,1,1,0,TRENDING,n/a,0,0,,54.8600,53.6800,98.0000,,,,
LINKUSDT,1614873600,27.8685,,,MODERATE,,alignment_ALIGNED_BULLISH_HIGHER_TF_ONLY_not_full,,,0,0,NONE,0,ALIGNED_BULLISH_HIGHER_TF_ONLY,LONG,1,1,0,TRENDING,n/a,0,0,,54.8600,46.7100,98.0000,,,,
LINKUSDT,1614888000,27.6943,,,MODERATE,,alignment_ALIGNED_BULLISH_HIGHER_TF_ONLY_not_full,,counter_trend_pullback_cap_MODERATE,0,0,NONE,0,ALIGNED_BULLISH_HIGHER_TF_ONLY,LONG,1,1,0,TRENDING,n/a,1,0,,54.8600,45.7700,98.0000,1,0,0,1
LINKUSDT,1614902400,26.6145,,,MODERATE,,alignment_MIXED_not_full,,,0,0,NONE,0,MIXED,FLAT,1,1,0,TRANSITIONING,n/a,0,0,,49.7200,40.3800,98.0000,,,,
LINKUSDT,1614916800,26.5825,,,MODERATE,,alignment_MIXED_not_full,,,0,0,NONE,0,MIXED,FLAT,1,1,0,TRANSITIONING,n/a,0,0,,49.7200,40.2300,98.0000,,,,
LINKUSDT,1614931200,26.7574,,,MODERATE,,alignment_MIXED_not_full,,,0,0,NONE,0,MIXED,FLAT,0,1,0,TRANSITIONING,n/a,0,0,,49.7200,41.5200,98.0000,,,,
LINKUSDT,1614945600,26.8049,,,MODERATE,,alignment_MIXED_not_full,,,0,0,NONE,0,MIXED,FLAT,1,1,0,TRANSITIONING,n/a,0,0,,49.7200,41.8800,98.0000,,,,
LINKUSDT,1614960000,28.0260,,,MODERATE,,alignment_MIXED_not_full,,,0,0,NONE,0,MIXED,FLAT,0,1,0,TRANSITIONING,n/a,0,0,,49.7200,50.4800,98.0000,,,,
LINKUSDT,1614974400,27.8343,,,MODERATE,,alignment_MIXED_not_full,,,0,0,NONE,0,MIXED,FLAT,0,1,0,TRANSITIONING,n/a,0,0,,49.7200,49.2500,98.0000,,,,
LINKUSDT,1614988800,27.3817,,,MODERATE,,alignment_MIXED_not_full,,,0,0,NONE,0,MIXED,FLAT,0,1,0,TRANSITIONING,n/a,0,0,,50.0500,46.3700,97.0000,,,,
LINKUSDT,1615003200,27.9178,,,MODERATE,,alignment_MIXED_not_full,,,0,0,NONE,0,MIXED,FLAT,0,1,0,TRANSITIONING,n/a,0,0,,50.0500,50.0900,97.0000,,,,
LINKUSDT,1615017600,27.2266,,,MODERATE,,alignment_MIXED_not_full,,,0,0,NONE,0,MIXED,FLAT,0,1,0,TRANSITIONING,n/a,0,0,,50.0500,45.6900,97.0000,,,,
LINKUSDT,1615032000,26.8582,,,MODERATE,,alignment_MIXED_not_full,,,0,0,NONE,0,MIXED,FLAT,1,1,0,TRANSITIONING,n/a,0,0,,50.0500,43.5000,97.0000,,,,
LINKUSDT,1615046400,28.0642,,,MODERATE,,alignment_MIXED_not_full,,,0,0,NONE,0,MIXED,FLAT,0,1,0,TRANSITIONING,n/a,0,0,,50.0500,51.6800,97.0000,,,,
LINKUSDT,1615060800,28.1479,,,MODERATE,,alignment_MIXED_not_full,,,0,0,NONE,0,MIXED,FLAT,0,1,0,TRANSITIONING,n/a,0,0,,50.0500,52.1900,97.0000,,,,
